id,y,T,Ma,x1,x2,x3,x4,x5,z1,z2,z3,z4,z5,w1,w2,w3,w4,w5
4295,525.3272476,1,0.339053685,1.673329463,0.533446365,-0.396045847,0.187043632,1.317157568,-1.595551029,0.044943834,0.091815869,1.37862811,-1.02512231,0.966335018,0.067722087,-1.118156438,-0.607750446,0.281962375
4760,509.3009364,1,0.609379787,0.656147877,0.947357224,0.575072952,1.554409128,0.411943761,-1.583609804,-1.27119634,0.421309598,1.288618771,-0.335981663,-0.560506501,-2.031297254,-0.005153867,-0.446268052,0.65235815
2211,515.1272482,0,,-0.015098346,-0.1639189,-0.139789048,1.029222006,-0.485660788,0.293258308,0.187335383,-0.472200342,-0.384641468,-0.52302822,0.48729848,-1.981717788,0.907667903,0.350170856,-0.474771419
2191,502.7168407,1,-0.12603386,0.508120953,-0.795713242,-1.553547159,0.267706459,0.148295954,1.207013184,-1.367831306,0.413207354,-1.140883835,-0.613898777,-0.12677567,1.006193273,-0.025107813,0.65254172,-0.04951202
3794,501.6558056,0,,0.860047164,-0.199968401,0.903983592,-1.051759274,1.551639615,-0.215127464,-0.968572549,0.146637053,0.616783827,-0.690223384,0.932351023,0.370067556,-0.692668063,0.625639012,2.360510341
3085,486.4513126,1,-3.847443141,0.064695222,0.803402157,-0.592437882,1.083077244,0.248010967,-2.211977226,-0.866201589,0.800206508,0.677685539,-0.238153203,1.630938528,-0.848360361,-0.223038687,-1.557219286,-0.10761166
4362,492.3540333,1,-0.410554449,-0.611309621,-0.913136446,0.757201084,-1.067447068,-1.454117036,-0.515913649,0.089634989,1.94612237,-1.330879425,0.704282803,-1.807526812,-0.458273795,-0.589824289,1.114534546,2.375436179
648,492.048167,0,,-0.820459983,0.279008516,-0.076020731,-1.768425985,-0.69662578,0.249281281,0.297512894,0.879986486,0.524148654,-2.009341096,0.870935263,-0.415557928,2.220979149,0.588375742,0.7547477
698,512.9039898,0,,-0.129160931,0.724065488,-1.911251955,2.021698041,1.199163602,0.840685639,-0.339269743,-0.685704464,-0.226188558,-1.908312449,-0.507217589,0.74771082,0.098486868,-0.201248573,-0.306624484
4197,483.049079,1,-4.499406427,-0.162016475,-0.370542261,2.278463934,1.279795177,0.878283149,0.732664091,-1.066230121,-0.896686185,-1.487787526,-0.412163765,0.935021452,1.440150148,0.050843927,1.22660397,0.036331662
278,504.6021694,0,,1.099099267,0.388530935,0.468363443,-0.563578842,-0.842031132,-2.429284787,0.707124984,-0.271531338,0.87292476,-1.475829999,1.04298218,-0.002026332,1.061230973,-0.286011219,0.49220885
4799,494.4062322,0,,0.056564632,0.184786542,-0.77695,-0.144526013,-0.228116385,0.665627767,1.58120735,-0.548267762,0.484866512,0.02060672,0.289396043,0.174384281,-1.787715021,-0.975425427,-1.171293575
1028,502.6694579,1,-0.876334865,-0.906771042,-0.90066345,0.515774086,0.201613851,0.166149398,-0.800087118,-0.973087514,-0.595374521,-0.714902543,-0.209925696,-1.114996796,-0.686278298,0.590131906,-0.380774994,0.823338154
