team_id,team_name
BOS1,Boston Celtics
BRO1,Brooklyn Nets
BRO1,New Jersey Nets
BRO1,New York Nets
NYK1,New York Knicks
PHL1,Philadelphia 76ers
PHL1,Syracuse Nationals
TOR1,Toronto Raptors
CHI1,Chicago Bulls
CLE1,Cleveland Cavaliers
DET1,Detroit Pistons
DET1,Fort Wayne Pistons
IND1,Indiana Pacers
MIL1,Milwaukee Bucks
ATL1,Atlanta Hawks
ATL1,St. Louis Hawks
ATL1,Milwaukee Hawks
ATL1,Tri-Cities Blackhawks
CHA1,Charlotte Hornets
CHA1,Charlotte Bobcats
MIA1,Miami Heat
ORL1,Orlando Magic
WAS1,Washington Wizards
WAS1,Washington Bullets
WAS1,Capital Bullets
WAS1,Baltimore Bullets
WAS1,Chicago Zephyrs
WAS1,Chicago Packers
DAL1,Dallas Mavericks
HOU1,Houston Rockets
HOU1,San Diego Rockets
MEM1,Memphis Grizzlies
MEM1,Vancouver Grizzlies
NOP1,New Orleans Pelicans
NOP1,New Orleans/Oklahoma City Hornets
NOP1,New Orleans Hornets
SAS1,San Antonio Spurs
DEN1,Denver Nuggets
MIN1,Minnesota Timberwolves
OKC1,Oklahoma City Thunder
OKC1,Seattle Super Sonics
POR1,Portland Trail Blazers
UTJ1,Utah Jazz
UTJ1,New Orleans Jazz
GSW1,Golden State Warriors
GSW1,San Francisco Warriors
GSW1,Philadelphia Warriors
LAC1,Los Angeles Clippers
LAC1,San Diego Clippers
LAC1,Buffalo Braves
LAL1,Los Angeles Lakers
LAL1,Minneapolis Lakers
PHO1,Phoenix Suns
SAC1,Sacramento Kings
SAC1,Kansas City Kings
SAC1,Kansas City-Omaha Kings
SAC1,Cincinnati Royals
SAC1,Rochester Royals
IND1,Indianapolis Olympians
WAS2,Washington Capitols
CHI2,Chicago Stags
STL1,St. Louis Bombers
AND1,Anderson Packers
SHE1,Sheboygan Red Skins
WAT1,Waterloo Hawks
