team_id,team_name
ANA1,Anaheim Ducks
ANA1,Anaheim Mighty Ducks
ARI1,Arizona Coyotes
ARI1,Phoenix Coyotes
CAL1,Calgary Flames
CAL1,Atlanta Flames
EDM1,Edmonton Flames
LAK1,Los Angeles Kings
SJS1,San Jose Sharks
VAN1,Vancouver Canucks
CHI1,Chicago Blackhawks
COL1,Colorado Avalanche
COL1,Quebec Nordiques
DAL1,Dallas Stars
DAL1,Minnesota North Stars
MIN1,Minnesota Wild
NAS1,Nashville Predators
STL1,St. Louis Blues
WIN1,Winnipeg Jets
WIN1,Atlanta Thrashers
BOS1,Boston Bruins
BUF1,Buffalo Sabres
DET1,Detroit Red Wings
DET1,Detroit Falcons
DET1,Detroit Cougars
FLA1,Florida Panthers
MON1,Montreal Canadiens
OTT1,Ottawa Senators
TBL1,Tampa Bay Lightning
TOR1,Toronto Maple Leafs
TOR1,Toronto St. Pats/Maple Leafs
TOR1,Toronto St. Pats
TOR1,Toronto Arenas
CAR1,Carolina Hurricanes
CAR1,Hartford Whalers
CBJ1,Columbus Blue Jackets
NJD1,New Jersey Devils
NJD1,Colorado Rockies
NJD1,Kansas City Scouts
NYI1,New York Islanders
NYR1,New York Rangers
PHL1,Philadelphia Flyers
PIT1,Pittsburgh Penguins
WAS1,Washington Capitals
CLE1,Cleveland Barons
CLE1,California Seals
CLE1,California Golden Seals
CLE1,Oakland Seals
BRO1,Brooklyn Americans
BRO1,New York Americans
STL2,St. Louis Eagles
PHL2,Philadelphia Quakers
PHL2,Pittsburgh Pirates
MON2,Montreal Maroons
HAM1,Hamilton Tigers
HAM1,Quebec Bulldogs
MON3,Montreal Wanderers
