first,last,N
A,A,218452
A,B,95478
A,C,173836
A,D,116262
A,E,210278
A,F,102589
A,G,116317
A,H,128751
A,I,41058
A,J,289853
A,K,36276
A,L,167761
A,M,272742
A,N,47780
A,O,35856
A,P,69220
A,Q,1015
A,R,202738
A,S,95060
A,T,59076
A,U,2415
A,V,54369
A,W,114340
A,X,153
A,Y,3803
A,Z,5183
B,A,578081
B,B,309417
B,C,527671
B,D,357224
B,E,657747
B,F,301922
B,G,349495
B,H,418412
B,I,118349
B,J,857104
B,K,113474
B,L,519605
B,M,807376
B,N,136244
B,O,104662
B,P,195279
B,Q,2867
B,R,615018
B,S,265555
B,T,176467
B,U,5970
B,V,155873
B,W,401725
B,X,387
B,Y,7269
B,Z,14304
C,A,462496
C,B,228039
C,C,423468
C,D,283249
C,E,483884
C,F,237898
C,G,267374
C,H,291363
C,I,88848
C,J,721973
C,K,84101
C,L,394552
C,M,647674
C,N,110114
C,O,77557
C,P,166356
C,Q,2544
C,R,473257
C,S,208484
C,T,150611
C,U,4630
C,V,127300
C,W,290287
C,X,471
C,Y,9464
C,Z,11051
D,A,317724
D,B,143000
D,C,262844
D,D,191113
D,E,319569
D,F,160265
D,G,175999
D,H,194938
D,I,55975
D,J,467490
D,K,55342
D,L,257681
D,M,429746
D,N,71739
D,O,47820
D,P,111421
D,Q,1602
D,R,305367
D,S,132202
D,T,95951
D,U,3100
D,V,82294
D,W,186768
D,X,259
D,Y,4419
D,Z,6830
E,A,116132
E,B,60916
E,C,107552
E,D,73287
E,E,141151
E,F,60443
E,G,73150
E,H,87208
E,I,24454
E,J,168221
E,K,23778
E,L,104827
E,M,164226
E,N,27322
E,O,22737
E,P,38719
E,Q,558
E,R,126726
E,S,52309
E,T,35535
E,U,1110
E,V,31376
E,W,80034
E,X,56
E,Y,1585
E,Z,2849
F,A,233192
F,B,111667
F,C,198132
F,D,137103
F,E,250308
F,F,122882
F,G,134418
F,H,158495
F,I,47239
F,J,344331
F,K,43241
F,L,195222
F,M,328543
F,N,52498
F,O,37423
F,P,78943
F,Q,1017
F,R,234040
F,S,106119
F,T,70647
F,U,2108
F,V,58873
F,W,140885
F,X,157
F,Y,3682
F,Z,5167
G,A,338491
G,B,160089
G,C,273450
G,D,187806
G,E,345610
G,F,171403
G,G,192744
G,H,216170
G,I,68448
G,J,489681
G,K,56301
G,L,276338
G,M,457783
G,N,74394
G,O,52756
G,P,116850
G,Q,1586
G,R,331470
G,S,162612
G,T,97624
G,U,3524
G,V,84682
G,W,194123
G,X,259
G,Y,5625
G,Z,7740
H,A,428381
H,B,243281
H,C,427510
H,D,288743
H,E,533797
H,F,232003
H,G,282973
H,H,357268
H,I,92740
H,J,675099
H,K,95808
H,L,412377
H,M,639730
H,N,106174
H,O,89884
H,P,148398
H,Q,2584
H,R,491866
H,S,196264
H,T,145192
H,U,4649
H,V,122829
H,W,335573
H,X,413
H,Y,6279
H,Z,11250
I,A,27815
I,B,11776
I,C,21897
I,D,14556
I,E,25218
I,F,13651
I,G,15057
I,H,16294
I,I,5896
I,J,36885
I,K,5626
I,L,21138
I,M,35858
I,N,6548
I,O,4386
I,P,9281
I,Q,147
I,R,24853
I,S,13553
I,T,8624
I,U,395
I,V,7427
I,W,14045
I,X,18
I,Y,1015
I,Z,728
J,A,180745
J,B,95539
J,C,167857
J,D,108821
J,E,208899
J,F,84611
J,G,101049
J,H,130378
J,I,37267
J,J,255154
J,K,35393
J,L,167497
J,M,238940
J,N,42192
J,O,37863
J,P,57636
J,Q,1290
J,R,187464
J,S,85881
J,T,58133
J,U,2088
J,V,48210
J,W,132277
J,X,119
J,Y,2374
J,Z,4613
K,A,264791
K,B,118157
K,C,197537
K,D,137203
K,E,280811
K,F,137316
K,G,142313
K,H,188905
K,I,52320
K,J,372570
K,K,67087
K,L,196491
K,M,358926
K,N,54187
K,O,37605
K,P,87937
K,Q,756
K,R,235593
K,S,137079
K,T,75773
K,U,2304
K,V,61821
K,W,157651
K,X,200
K,Y,6572
K,Z,6179
L,A,310025
L,B,145498
L,C,256581
L,D,176155
L,E,323813
L,F,154390
L,G,172880
L,H,206897
L,I,61385
L,J,433099
L,K,58021
L,L,261510
L,M,409863
L,N,69185
L,O,50849
L,P,105057
L,Q,1754
L,R,306065
L,S,143848
L,T,90876
L,U,3141
L,V,78645
