first,last,birth,N
A,A,1800,0
A,A,1801,0
A,A,1802,0
A,A,1803,0
A,A,1804,0
A,A,1805,0
A,A,1806,0
A,A,1807,0
A,A,1808,1
A,A,1809,0
A,A,1810,0
A,A,1811,0
A,A,1812,0
A,A,1813,0
A,A,1814,0
A,A,1815,0
A,A,1816,0
A,A,1817,0
A,A,1818,1
A,A,1819,0
A,A,1820,0
A,A,1821,0
A,A,1822,0
A,A,1823,0
A,A,1824,0
A,A,1825,0
A,A,1826,1
A,A,1827,0
A,A,1828,0
A,A,1829,0
A,A,1830,0
A,A,1831,0
A,A,1832,0
A,A,1833,0
A,A,1834,0
A,A,1835,0
A,A,1836,0
A,A,1837,0
A,A,1838,0
A,A,1839,0
A,A,1840,0
A,A,1841,0
A,A,1842,0
A,A,1843,0
A,A,1844,0
A,A,1845,0
A,A,1846,0
A,A,1847,0
A,A,1848,0
A,A,1849,1
A,A,1850,0
A,A,1851,0
A,A,1852,0
A,A,1853,2
A,A,1854,0
A,A,1855,0
A,A,1856,0
A,A,1857,0
A,A,1858,0
A,A,1859,2
A,A,1860,0
A,A,1861,1
A,A,1862,1
A,A,1863,5
A,A,1864,4
A,A,1865,4
A,A,1866,11
A,A,1867,26
A,A,1868,22
A,A,1869,37
A,A,1870,58
A,A,1871,85
A,A,1872,127
A,A,1873,166
A,A,1874,219
A,A,1875,301
A,A,1876,379
A,A,1877,481
A,A,1878,552
A,A,1879,670
A,A,1880,831
A,A,1881,981
A,A,1882,1125
A,A,1883,1275
A,A,1884,1474
A,A,1885,1752
A,A,1886,1861
A,A,1887,1955
A,A,1888,2380
A,A,1889,2400
A,A,1890,2665
A,A,1891,2683
A,A,1892,3007
A,A,1893,3171
A,A,1894,3405
A,A,1895,3437
A,A,1896,3550
A,A,1897,3453
A,A,1898,3578
A,A,1899,3494
A,A,1900,3957
A,A,1901,3819
A,A,1902,4220
A,A,1903,4276
A,A,1904,4402
A,A,1905,4480
A,A,1906,4826
A,A,1907,4918
A,A,1908,4964
A,A,1909,5096
A,A,1910,5017
A,A,1911,4986
A,A,1912,5255
A,A,1913,5225
A,A,1914,5081
A,A,1915,4938
A,A,1916,4775
A,A,1917,4665
A,A,1918,4571
A,A,1919,4396
A,A,1920,4503
A,A,1921,4467
A,A,1922,4301
A,A,1923,3912
A,A,1924,3741
A,A,1925,3444
A,A,1926,3369
A,A,1927,2994
A,A,1928,2801
A,A,1929,2530
A,A,1930,2450
A,A,1931,2104
A,A,1932,1986
A,A,1933,1718
A,A,1934,1663
A,A,1935,1459
A,A,1936,1297
A,A,1937,1266
A,A,1938,1217
A,A,1939,1078
A,A,1940,1094
A,A,1941,963
A,A,1942,941
A,A,1943,938
A,A,1944,776
A,A,1945,722
A,A,1946,807
A,A,1947,767
A,A,1948,718
A,A,1949,689
A,A,1950,710
A,A,1951,639
A,A,1952,609
A,A,1953,580
A,A,1954,522
A,A,1955,576
A,A,1956,525
A,A,1957,474
A,A,1958,456
A,A,1959,426
A,A,1960,418
A,A,1961,412
A,A,1962,364
A,A,1963,306
A,A,1964,329
A,A,1965,297
A,A,1966,237
A,A,1967,213
A,A,1968,219
A,A,1969,183
A,A,1970,208
A,A,1971,166
A,A,1972,177
A,A,1973,140
A,A,1974,135
A,A,1975,134
A,A,1976,143
A,A,1977,142
A,A,1978,143
A,A,1979,150
A,A,1980,164
A,A,1981,146
A,A,1982,122
A,A,1983,116
A,A,1984,124
A,A,1985,104
A,A,1986,84
A,A,1987,99
A,A,1988,75
A,A,1989,74
A,A,1990,57
A,A,1991,75
A,A,1992,82
A,A,1993,69
A,A,1994,61
A,A,1995,54
A,A,1996,53
A,A,1997,47
A,A,1998,36
A,A,1999,52
A,A,2000,60
A,A,2001,56
A,A,2002,59
A,A,2003,57
A,A,2004,51
A,A,2005,50
A,A,2006,50
A,A,2007,38
A,A,2008,23
A,A,2009,28
A,A,2010,20
A,A,2011,17
A,B,1800,0
A,B,1801,0
A,B,1802,0
A,B,1803,0
A,B,1804,0
A,B,1805,0
A,B,1806,0
A,B,1807,0
A,B,1808,0
A,B,1809,0
A,B,1810,0
A,B,1811,0
A,B,1812,0
A,B,1813,0
A,B,1814,0
A,B,1815,0
A,B,1816,0
A,B,1817,0
A,B,1818,0
A,B,1819,0
A,B,1820,0
A,B,1821,0
A,B,1822,0
A,B,1823,0
A,B,1824,0
A,B,1825,0
A,B,1826,0
A,B,1827,0
A,B,1828,0
A,B,1829,0
A,B,1830,0
A,B,1831,0
A,B,1832,0
A,B,1833,0
A,B,1834,0
A,B,1835,0
A,B,1836,0
A,B,1837,0
A,B,1838,0
A,B,1839,0
A,B,1840,0
A,B,1841,0
A,B,1842,0
A,B,1843,0
A,B,1844,0
A,B,1845,0
A,B,1846,0
A,B,1847,0
A,B,1848,0
A,B,1849,0
A,B,1850,0
A,B,1851,0
A,B,1852,0
A,B,1853,0
A,B,1854,0
A,B,1855,0
A,B,1856,0
A,B,1857,0
A,B,1858,0
A,B,1859,0
A,B,1860,0
A,B,1861,1
A,B,1862,1
A,B,1863,0
A,B,1864,1
A,B,1865,1
A,B,1866,1
A,B,1867,0
A,B,1868,8
A,B,1869,8
A,B,1870,13
A,B,1871,12
A,B,1872,28
A,B,1873,26
A,B,1874,69
A,B,1875,73
A,B,1876,105
A,B,1877,130
A,B,1878,139
A,B,1879,186
A,B,1880,258
A,B,1881,269
A,B,1882,323
A,B,1883,419
A,B,1884,433
A,B,1885,525
A,B,1886,579
A,B,1887,643
A,B,1888,793
A,B,1889,825
A,B,1890,850
A,B,1891,951
A,B,1892,1027
A,B,1893,1034
A,B,1894,1111
A,B,1895,1123
A,B,1896,1208
A,B,1897,1224
A,B,1898,1288
A,B,1899,1228
A,B,1900,1386
A,B,1901,1331
A,B,1902,1474
A,B,1903,1531
A,B,1904,1556
A,B,1905,1635
A,B,1906,1561
A,B,1907,1692
A,B,1908,1713
A,B,1909,1787
A,B,1910,1829
A,B,1911,1725
A,B,1912,1827
A,B,1913,1701
A,B,1914,1736
A,B,1915,1738
A,B,1916,1723
A,B,1917,1710
A,B,1918,1744
A,B,1919,1769
A,B,1920,1839
A,B,1921,1889
A,B,1922,1861
A,B,1923,1902
A,B,1924,1890
A,B,1925,1906
A,B,1926,1829
A,B,1927,1907
A,B,1928,1858
A,B,1929,1713
A,B,1930,1619
A,B,1931,1556
A,B,1932,1492
A,B,1933,1390
A,B,1934,1420
A,B,1935,1204
A,B,1936,1110
A,B,1937,938
A,B,1938,1025
A,B,1939,911
A,B,1940,895
A,B,1941,743
A,B,1942,767
A,B,1943,802
A,B,1944,714
A,B,1945,549
A,B,1946,632
A,B,1947,632
A,B,1948,585
A,B,1949,482
A,B,1950,523
A,B,1951,485
A,B,1952,479
A,B,1953,428
A,B,1954,409
A,B,1955,354
A,B,1956,352
A,B,1957,354
A,B,1958,322
A,B,1959,335
A,B,1960,273
A,B,1961,255
A,B,1962,177
A,B,1963,182
A,B,1964,177
A,B,1965,153
A,B,1966,126
A,B,1967,114
A,B,1968,104
A,B,1969,94
A,B,1970,103
A,B,1971,91
A,B,1972,78
A,B,1973,68
A,B,1974,77
A,B,1975,57
A,B,1976,65
A,B,1977,71
A,B,1978,64
A,B,1979,61
A,B,1980,65
A,B,1981,58
A,B,1982,71
A,B,1983,60
A,B,1984,58
A,B,1985,43
A,B,1986,41
A,B,1987,47
A,B,1988,40
A,B,1989,43
A,B,1990,29
A,B,1991,34
A,B,1992,28
A,B,1993,20
A,B,1994,17
A,B,1995,25
A,B,1996,17
A,B,1997,25
A,B,1998,18
A,B,1999,16
A,B,2000,18
A,B,2001,20
A,B,2002,20
A,B,2003,16
A,B,2004,19
A,B,2005,15
A,B,2006,8
A,B,2007,10
A,B,2008,8
A,B,2009,7
A,B,2010,5
A,B,2011,5
A,C,1800,0
A,C,1801,0
A,C,1802,0
A,C,1803,0
A,C,1804,0
A,C,1805,0
A,C,1806,0
A,C,1807,0
A,C,1808,0
A,C,1809,0
A,C,1810,0
A,C,1811,0
A,C,1812,0
A,C,1813,0
A,C,1814,0
A,C,1815,0
A,C,1816,0
A,C,1817,0
A,C,1818,0
