team_id,team_name
TOR1,toronto blue jays
TOR1,tor
TOR1,blue jays
BOS1,boston red sox
BOS1,bos
BOS1,red sox
TAM1,tampa bay rays
TAM1,tba
TAM1,tb
TAM1,tbd
TAM1,rays
TAM1,devil rays
TAM1,tampa bay
NYY1,new york yankees
NYY1,nya
NYY1,nyy
NYY1,yankees
BAL1,baltimore orioles
BAL1,bal
BAL1,orioles
NYM1,new york mets
NYM1,nyn
NYM1,nym
NYM1,mets
WAS1,washington nationals
WAS1,was
WAS1,nationals
WAS1,expos
MIA1,miami marlins
MIA1,mia
MIA1,fla
MIA1,marlins
PHI1,philadelphia phillies
PHI1,phi
PHI1,phillies
ATL1,atlanta braves
ATL1,atl
ATL1,braves
CLE1,cleveland indians
CLE1,cle
CLE1,indians
DET1,detroit tigers
DET1,det
DET1,tigers
CHI1,chicago white sox
CHI1,cha
CHI1,chw
CHI1,white sox
CHI1,whitesox
KAN1,kansas city royals
KAN1,kca
KAN1,kc
KAN1,kcr
KAN1,royals
MIN1,minnesota twins
MIN1,min
MIN1,twins
CHI2,chicago cubs
CHI2,chn
CHI2,chc
CHI2,cubs
STL1,st louis cardinals
STL1,sln
STL1,stl
STL1,cardinals
STL1,cards
PIT1,pittsburgh pirates
PIT1,pit
PIT1,pirates
MIL1,milwaukee brewers
MIL1,mil
MIL1,brewers
CIN1,cincinnati reds
CIN1,cin
CIN1,reds
HOU1,houston astros
HOU1,hou
HOU1,astros
OAK1,oakland as
OAK1,oak
OAK1,as
OAK1,athletics
SEA1,seattle mariners
SEA1,sea
SEA1,mariners
TEX1,texas rangers
TEX1,tex
TEX1,rangers
LAA1,los angeles angels
LAA1,ana
LAA1,laa
LAA1,angels
LAD1,los angeles dodgers
LAD1,lan
LAD1,lad
LAD1,dodgers
SFG1,san francisco giants
SFG1,sfn
SFG1,sfg
SFG1,giants
ARI1,arizona diamondbacks
ARI1,ari
ARI1,diamondbacks
ARI1,dbacks
COL1,colorado rockies
COL1,col
COL1,rockies
SDP1,san diego padres
SDP1,sdn
SDP1,sdp
SDP1,padres
