team_id,team_name
BAL1,Baltimore Ravens
CIN1,Cincinnati Bengals
CLE1,Cleveland Browns
PIT1,Pittsburgh Steelers
PIT1,Card-Pitt
PIT1,Phil-Pitt Steagles
PIT1,Pittsburgh Pirates
HOU1,Houston Texans
IND1,Indianapolis Colts
IND1,Baltimore Colts
JAX1,Jacksonville Jaguars
TEN1,Tennessee Titans
TEN1,Tennessee Oilers
TEN1,Houston Oilers
BUF1,Buffalo Bills
MIA1,Miami Dolphins
NEP1,New England Patriots
NEP1,Boston Patriots
NYJ1,New York Jets
DEN1,Denver Broncos
KCC1,Kansas City Chiefs
OAK1,Oakland Raiders
OAK1,Los Angeles Raiders
SDC1,San Diego Chargers
CHI1,Chicago Bears
DET1,Detroit Lions
DET1,Portsmouth Spartans
GBP1,Green Bay Packers
MIN1,Minnesota Vikings
ATL1,Atlanta Falcons
CAR1,Carolina Panthers
NOS1,New Orleans Saints
TBB1,Tampa Bay Buccaneers
DAL1,Dallas Cowboys
NYG1,New York Giants
PHL1,Philadelphia Eagles
WAS1,Washington Redskins
WAS1,Boston Redskins
WAS1,Boston Braves
ARI1,Arizona Cardinals
ARI1,Phoenix Cardinals
ARI1,St. Louis Cardinals
ARI1,Chicago Cardinals
LAR1,Los Angeles Rams
LAR1,St. Louis Rams
LAR1,Cleveland Rams
SFF1,San Francisco 49ers
SEA1,Seattle Seahawks
DAL2,Dallas Texans
DAL2,New York Yanks
DAL2,New York Bulldogs
DAL2,Boston Yanks
BRO1,Brooklyn Tigers
BRO1,Brooklyn Dodgers
STL1,St. Louis Gunners
CIN2,Cincinnati Reds
NEW1,Newark Tornadoes
NEW1,Orange Tornadoes
NEW1,Duluth Eskimos
NEW1,Duluth Kelleys
MIN2,Minneapolis Red Jackets
MIN2,Minneapolis Marines
STA1,Staten Island Stapletons
BOS1,Boston Bulldogs
BOS1,Pottsville Maroons
DET2,Detroit Wolverines
DET2,Detroit Panthers
NYY1,New York Yankees
LOU1,Louisville Colonels
LOU1,Louisville Brecks
RAC1,Racine Tornadoes
RAC1,Racine Legion
AKR1,Akron Indians
AKR1,Akron Pros
BRO2,Brooklyn Lions
HAR1,Hartford Blues
BUF2,Buffalo Rangers
BUF2,Buffalo Bisons
BUF2,Buffalo All-Americans
LAB1,Los Angeles Buccaneers
KCC2,Kansas City Cowboys
KCC2,Kansas City Blues
PRO1,Providence Steam Roller
KEN1,Kenosha Maroons
FRA1,Frankford Yellow Jackets
CLE2,Cleveland Bulldogs
CLE2,Cleveland Indians
STL2,St. Louis All-Stars
COL1,Columbus Tigers
COL1,Columbus Panhandles
HAM1,Hammond Pros
ROC1,Rochester Jeffersons
ECC1,Evansville Crimson Giants
OOR1,Oorang Indians
MIL1,Milwaukee Badgers
DAY1,Dayton Triangles
RII1,Rock Island Independents
TOL1,Toledo Maroons
CAN1,Canton Bulldogs
